rec,include,cat,new_species,marker,genBank_accession_no,BIN,SRA_NO,taxonConceptID,scientificName/TCID,phylum,lower_taxon,catalog_no,in-house_spec_no,typeStatus,year_date,cruise,contractor_Area,STATION-collection_code,lat,long,depth,data_name,database_link,DATA_SOURCE,ref_short,ref2,record_elsewhere,note
1198,,sequence,,COI,MW056864,BOLD:ACZ5629,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP763,,,,UK-1 exploration area,UK1-AB2-TR01-IT-SGN021,,,4149,,,,Mohrbeck_etal_2021,,,
1199,,sequence,,COI,MW057104,BOLD:ACZ5629,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP764,,,,UK-1 exploration area,UK1-AB2-TR01-IT-SGN021,,,4149,,,,Mohrbeck_etal_2021,,,
1200,,sequence,,COI,MW056951,BOLD:ACZ5629,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP765,,,,UK-1 exploration area,UK1-AB2-TR01-IT-SGN021,,,4149,,,,Mohrbeck_etal_2021,,,
1201,,sequence,,COI,MW056947,BOLD:ACZ6235,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP768,,,,UK-1 exploration area,UK1-AB2-TR01-IT-SGN021,,,4149,,,,Mohrbeck_etal_2021,,,
1202,,sequence,,COI,MW056905,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1538,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1203,,sequence,,COI,MW056981,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1539,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1204,,sequence,,COI,MW056736,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1540,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1205,,sequence,,COI,MW056769,BOLD:ACZ4904,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1542,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1206,,sequence,,COI,MW056903,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1543,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1207,,sequence,,COI,MW056565,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1544,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1208,,sequence,,COI,MW056982,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1546,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1209,,sequence,,COI,MW056708,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1547,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1210,,sequence,,COI,MW057083,BOLD:ACZ6235,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1548,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1211,,sequence,,COI,MW056750,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1549,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1212,,sequence,,COI,MW056660,BOLD:ACZ6235,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1550,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1213,,sequence,,COI,MW057037,BOLD:ACZ6236,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1551,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1214,,sequence,,COI,MW056801,BOLD:ACZ4489,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1554,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1215,,sequence,,COI,MW056652,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1559,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1216,,sequence,,COI,MW056599,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1560,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1217,,sequence,,COI,MW056663,BOLD:ACZ4905,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1562,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1218,,sequence,,COI,MW057012,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1563,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1219,,sequence,,COI,MW056985,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1565,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1220,,sequence,,COI,MW056958,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1567,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1221,,sequence,,COI,MW057107,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1568,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1222,,sequence,,COI,MW056772,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1570,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1223,,sequence,,COI,MW056654,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1572,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1224,,sequence,,COI,MW056622,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1573,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1225,,sequence,,COI,MW056557,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1577,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1226,,sequence,,COI,MW057126,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1578,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1227,,sequence,,COI,MW057043,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1580,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1228,,sequence,,COI,MW056975,BOLD:ACZ6415,,,Abyssorchomene distinctus,Arthropoda,Uristidae,,AB2-AMP1582,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1229,,sequence,,COI,MW057077,BOLD:ACZ5628,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1584,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1230,,sequence,,COI,MW057095,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1587,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1231,,sequence,,COI,MW056742,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1589,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1232,,sequence,,COI,MW056819,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1590,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1233,,sequence,,COI,MW056807,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1591,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1234,,sequence,,COI,MW056929,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1594,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1235,,sequence,,COI,MW056597,BOLD:ACZ5629,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1595,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1236,,sequence,,COI,MW057146,BOLD:ACZ6235,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1596,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1237,,sequence,,COI,MW056631,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1597,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1238,,sequence,,COI,MW056971,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1600,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1239,,sequence,,COI,MW056593,BOLD:ACZ5631,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1601,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1240,,sequence,,COI,MW056874,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1602,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1241,,sequence,,COI,MW056575,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1604,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1242,,sequence,,COI,MW056679,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1605,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1243,,sequence,,COI,MW056890,BOLD:ACZ6236,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1606,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1244,,sequence,,COI,MW056998,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1613,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1245,,sequence,,COI,MW056767,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1614,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1246,,sequence,,COI,MW056795,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1616,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1247,,sequence,,COI,MW057041,BOLD:ACZ6415,,,Abyssorchomene distinctus,Arthropoda,Uristidae,,AB2-AMP1617,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1248,,sequence,,COI,MW056803,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP1619,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1249,,sequence,,COI,MW056776,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1620,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1250,,sequence,,COI,MW057129,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP1624,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1251,,sequence,,COI,MW056655,BOLD:ACZ6236,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2210,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1252,,sequence,,COI,MW056752,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2214,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1253,,sequence,,COI,MW057127,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2216,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1254,,sequence,,COI,MW056775,BOLD:ACZ6415,,,Abyssorchomene distinctus,Arthropoda,Uristidae,,AB2-AMP2217,,,,UK-1 exploration area,UK1-AB2-TR02-IT-SGN038-A,,,4193,,,,Mohrbeck_etal_2021,,,
1255,,sequence,,COI,MW056873,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2222,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1256,,sequence,,COI,MW056960,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2223,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1257,,sequence,,COI,MW056936,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2225,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1258,,sequence,,COI,MW056517,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2226,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1259,,sequence,,COI,MW056804,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP2227,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1260,,sequence,,COI,MW056579,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2229,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1261,,sequence,,COI,MW056515,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2232,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1262,,sequence,,COI,MW056962,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2242,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1263,,sequence,,COI,MW056798,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2243,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1264,,sequence,,COI,MW056966,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP2244,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1265,,sequence,,COI,MW056853,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP2245,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1266,,sequence,,COI,MW056627,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2246,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1267,,sequence,,COI,MW056935,BOLD:ACZ4904,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP2252,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1268,,sequence,,COI,MW056542,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP2253,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1269,,sequence,,COI,MW057106,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP2255,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1270,,sequence,,COI,MW056897,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2256,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1271,,sequence,,COI,MW056626,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2257,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1272,,sequence,,COI,MW056969,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2258,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1273,,sequence,,COI,MW057053,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2261,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1274,,sequence,,COI,MW056617,BOLD:ACZ6235,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2262,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1275,,sequence,,COI,MW056705,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2263,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1276,,sequence,,COI,MW057021,BOLD:ACZ5629,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP2276,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1277,,sequence,,COI,MW057148,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2281,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1278,,sequence,,COI,MW056780,BOLD:ACZ6236,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2284,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1279,,sequence,,COI,MW056544,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP2285,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1280,,sequence,,COI,MW057115,BOLD:ACZ5629,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP2287,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1281,,sequence,,COI,MW056564,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP2288,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1282,,sequence,,COI,MW056943,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP2290,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1283,,sequence,,COI,MW056675,BOLD:ACZ5629,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP2292,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1284,,sequence,,COI,MW056725,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP2293,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1285,,sequence,,COI,MW056833,BOLD:ACZ5625,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP2295,,,,OMS-1 exploration area,OMS1-AB2-TR03-IT-SGN063,,,4183,,,,Mohrbeck_etal_2021,,,
1286,,sequence,,COI,MW056759,BOLD:ACZ6415,,,Abyssorchomene distinctus,Arthropoda,Uristidae,,AB2-AMP3649,,,,OMS-1 exploration area,OMS1-AB2-TR11-IT-SGN166-C,,,4071,,,,Mohrbeck_etal_2021,,,
1287,,sequence,,COI,MW056831,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP3650,,,,OMS-1 exploration area,OMS1-AB2-TR11-IT-SGN166-C,,,4071,,,,Mohrbeck_etal_2021,,,
1288,,sequence,,COI,MW056711,BOLD:ACZ6441,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP3651,,,,OMS-1 exploration area,OMS1-AB2-TR11-IT-SGN166-C,,,4071,,,,Mohrbeck_etal_2021,,,
1289,,sequence,,COI,MW056877,BOLD:ACZ5629,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP3652,,,,OMS-1 exploration area,OMS1-AB2-TR11-IT-SGN166-C,,,4071,,,,Mohrbeck_etal_2021,,,
1290,,sequence,,COI,MW056816,BOLD:ACZ6237,,,Paralicella tenuipes,Arthropoda,Alicellidae,,AB2-AMP3653,,,,OMS-1 exploration area,OMS1-AB2-TR11-IT-SGN166-C,,,4071,,,,Mohrbeck_etal_2021,,,
1291,,sequence,,COI,MW056541,BOLD:ACZ6415,,,Abyssorchomene distinctus,Arthropoda,Uristidae,,AB2-AMP3655,,,,OMS-1 exploration area,OMS1-AB2-TR11-IT-SGN166-C,,,4071,,,,Mohrbeck_etal_2021,,,
1292,,sequence,,COI,MW057031,BOLD:ACZ6415,,,Abyssorchomene distinctus,Arthropoda,Uristidae,,AB2-AMP3656,,,,OMS-1 exploration area,OMS1-AB2-TR11-IT-SGN166-C,,,4071,,,,Mohrbeck_etal_2021,,,
1293,,sequence,,COI,MW057155,BOLD:ACZ4905,,,Paralicella caperesca,Arthropoda,Alicellidae,,AB2-AMP3657,,,,OMS-1 exploration area,OMS1-AB2-TR11-IT-SGN166-C,,,4071,,,,Mohrbeck_etal_2021,,,
1294,,sequence,,COI,MW057138,BOLD:ACZ6415,,,Abyssorchomene distinctus,Arthropoda,Uristidae,,AB2-AMP3662,,,,OMS-1 exploration area,OMS1-AB2-TR11-IT-SGN166-C,,,4071,,,,Mohrbeck_etal_2021,,,
1295,,sequence,,16S,MK970941,,,,Prionospio sp. E,Annelida,,,14_Prionospio_14,,,SO 239,GSR,15,,,4516,,,,Guggolz_etal_2020,,,Sample_ID_Bold: 015-BGR-0015
1296,,sequence,,16S,MK970965,,,,Aurospio sp. T,Annelida,,,20_Aurospio_20_p,,,SO 239,GSR,15,,,4511,,,,Guggolz_etal_2020,,,Sample_ID_Bold: 015-BGR-0022
1297,,sequence,,16S,MK971001,,,,Prionospio sp. C,Annelida,,,29_Prionospio_29,,,SO 239,Ifremer,16,,,4964,,,,Guggolz_etal_2020,,,Sample_ID_Bold: 016-BGR-0031
1298,,sequence,,16S,MK970979,,,,Aurospio sp. T,Annelida,,,44_Aurospio_20,,,SO 239,GSR,21,,,4503,,,,Guggolz_etal_2020,,,Sample_ID_Bold: 021-BGR-0046
1299,,sequence,,16S,MK971050,,,,Aurospio sp. T,Annelida,,,67_Aurospio_20,,,SO 239,GSR,23,,,NA,,,,Guggolz_etal_2020,,,Sample_ID_Bold: 023-BGR-0069
1300,,sequence,,16S,MK971040,,,,Aurospio sp. T,Annelida,,,70_Aurospio_20,,,SO 239,Ifremer,23,,,4951,,,,Guggolz_etal_2020,,,Sample_ID_Bold: 023-BGR-0072
1301,,sequence,,16S,MK970990,,,,Prionospio sp. H,Annelida,,,73_Prionospio_73 ,,,SO 239,GSR,23,,,4514,,,,Guggolz_etal_2020,,,Sample_ID_Bold: 023-BGR-0075
1302,,sequence,,COI,MN228926,,,,Aurospio sp. S,Annelida,,,80_Aurospio_80,,,SO 239,GSR,24,,,4514,,,,Guggolz_etal_2020,,,Sample_ID_Bold: 024-BGR-0082
1303,,sequence,,16S,MK970920,,,,Aurospio sp. T,Annelida,,,139_Aurospio_20,,,SO 239,GSR,58,,,4514,,,,Guggolz_etal_2020,,,Sample_ID_Bold: 058-BGR-0141
1304,,sequence,,16S,MK971098,,,,Prionospio sp. C,Annelida,,,164_Prionospio_29,,,SO 239,Ifremer,60,,,4964,,,,Guggolz_etal_2020,,,Sample_ID_Bold: 060-BGR-0166
1305,,sequence,,COI,MK971230,,,,Prionospio sp. C,Annelida,,,164_Prionospio_29,,,SO 239,Ifremer,60,,,4964,,,,Guggolz_etal_2020,,,Sample_ID_Bold: 060-BGR-0166
1306,,sequence,,16S,MK971083,,,,Aurospio dibranchiata,Annelida,,,249_Aurospio_249,,,SO 239,Ifremer,89,,,4936,,,,Guggolz_etal_2020,,,Sample_ID_Bold: 089-IOM-0251
1307,,sequence,,16S,MK970986,,,,Prionospio sp. B,Annelida,,,253_Prionospio_268,,,SO 239,IOM,89,,,4957,,,,Guggolz_etal_2020,,,Sample_ID_Bold: 089-IOM-0255
1308,,sequence,,16S,MK970978,,,,Aurospio dibranchiata,Annelida,,,259_Aurospio_249,,,SO 239,Ifremer,90,,,4896,,,,Guggolz_etal_2020,,,Sample_ID_Bold: 090-IOM-0261
