rec,reference,full_citation,year_published,descr_id_with,new_gen_data_publ,OA,DESCRIPTION,size_cat,categ,synthesis_muli-datasets,journal,article_type,key_provided
126,Laakmann_etal_2019,"Laakmann, S., Markhaseva, E.L. and Renz, J., 2019. Do molecular phylogenies unravel the relationships among the evolutionary young “Brafordian” families (Copepoda; Calanoida)?. Molecular phylogenetics and evolution, 130, pp.330-345.",2019,morphology and molecular data,yes,yes,,meiofauna,,,Molecular phylogenetics and evolution,article,
38,Lambshead_etal_2003,"Lambshead, P. J. D., Brown, C. J., Ferrero, T. J., Hawkins, L. E., Smith, C. R., & Mitchell, N. J. (2003). Biodiversity of nematode assemblages from the region of the Clarion-Clipperton Fracture Zone, an area of commercial mining interest. BMC ecology, 3(1), 1-12.",2002,morphology only (specimens),no,yes,,macrofauna,community composition/species assemblages,,,,
173,Laming_etal_2021,"Laming, S.R., Christodoulou, M., Arbizu, P.M. and Hilário, A., 2021. Comparative reproductive biology of deep-sea ophiuroids inhabiting polymetallic-nodule fields in the Clarion-Clipperton Fracture Zone. Frontiers in Marine Science. 8:663798. doi: 10.3389/fmars.2021.663798",2021,morphology and molecular data,yes,yes,,macrofauna,general biology,,Frontiers in Marine Science,article,
195,Laroche_etal_2020,"Laroche, O., Kersten, O., Smith, C.R. and Goetze, E., 2020. From sea surface to seafloor: a benthic allochthonous eDNA survey for the abyssal ocean. Frontiers in Marine Science, 7, p.682. doi:10.3389/fmars.2020.00682",2018,molecular data only,yes- genomic data,yes,,all,,,,,
63,Larsen&Arauijo-Silva_2014,"Larsen, K. and Araujo-Silva, C., 2014. A new genus of Colletteidae (Crustacea: Peracarida: Tanaidacea) from the Pacific with comments on dimorphic males with species specific characters. Journal of the Marine Biological Association of the United Kingdom, 94(5), pp.969-974.",2014,morphology only (specimens),no,n,y,macrofauna,taxonomy/species description,,Journal of the Marine Biological Association of the United Kingdom,article,
27,Larsen_1999,"Larsen, K., 1999. Pacific Tanaidacea (Crustacea): Revision of the genus Agathotanais with description of three new species. RECORDS-AUSTRALIAN MUSEUM, 51, pp.99-112.",1999,morphology only (specimens),no,n,y,macrofauna,species description,,,,
53,Larsen_2011a,"Larsen, K., 2011. Tanaidaceans (Crustacea) from the Central Pacific Manganese Nodule Province. I. The genera Collettea, Robustochelia and Tumidochelia. ZooKeys, (87), p.19.",2011,morphology only (specimens),no,yes,y,macrofauna,taxonomy/species description,,Zookeys,article,
54,Larsen_2011b,"Larsen, K., 2011. The tanaidacean assemblage from the Central Pacific Manganese Nodule Province. II. The genera Stenotanais and Typhlotanais (Crustacea). Zootaxa, 3088(1), pp.39-53.",2011,morphology only (specimens),no,n,y,macrofauna,taxonomy/species description,,Zootaxa,article,
94,Leitner_etal_2017,"Leitner, A.B., Neuheimer, A.B., Donlon, E., Smith, C.R. and Drazen, J.C., 2017. Environmental and bathymetric influences on abyssal bait-attending communities of the Clarion Clipperton Zone. Deep Sea Research Part I: Oceanographic Research Papers, 125, pp.65-80.",2017,morphology only (specimens),no,yes,,megafauna,community composition/species assemblages,,Deep Sea Research Part I: Oceanographic Research Papers,article,
174,Leitner_etal_2021,"Leitner, A.B., Drazen, J.C. and Smith, C.R., 2021. Testing the Seamount Refuge Hypothesis for Predators and Scavengers in the Western Clarion-Clipperton Zone. Frontiers in Marine Science, p.1146.",2021,morphology only (ROV imagery),no,yes,,megafauna,,,Frontiers in Marine Science,article,
175,Leitner_etal_2021b,"Leitner, A.B., Durden, J.M., Smith, C.R., Klingberg, E.D. and Drazen, J.C., 2021. Synaphobranchid eel swarms on abyssal seamounts: Largest aggregation of fishes ever observed at abyssal depths. Deep Sea Research Part I: Oceanographic Research Papers, 167, p.103423.",2021,,no,yes,,megafauna,,,,,
176,Lejzerowicz_etal_2021,"Lejzerowicz, F., Gooday, A.J., Barrenechea Angeles, I., Cordier, T., Morard, R., Apothéloz-Perret-Gentil, L., Lins, L., Menot, L., Brandt, A., Levin, L.A. and Martinez Arbizu, P., 2021. Eukaryotic biodiversity and spatial patterns in the Clarion-Clipperton zone and other abyssal regions: insights from sediment DNA and RNA metabarcoding. Frontiers in Marine Science, 8, p.536.",2021,molecular data only,yes,yes,,meiofauna,,,,,
95,Lim_etal_2017,"Lim, S.C., Wiklund, H., Glover, A.G., Dahlgren, T.G. and Tan, K.S., 2017. A new genus and species of abyssal sponge commonly encrusting polymetallic nodules in the Clarion-Clipperton Zone, East Pacific Ocean. Systematics and biodiversity, 15(6), pp.507-519. https://doi.org/10.1080/14772000.2017.1358218",2017,morphology and molecular data,yes,n,y,macrofauna,taxonomy/species description,,Systematics and biodiversity,article,
177,Lorz&Horton_2021,"Lörz, A.N. and Horton, T., 2021. Investigation of the Amathillopsidae (Amphipoda, Crustacea), including the description of a new species, reveals a clinging lifestyle in the deep sea worldwide. ZooKeys, 1031, p.19.",2021,morphology and molecular data,yes,yes,,macrofauna,,,,,
148,Macheriotou_etal_2020,"Macheriotou, L., Rigaux, A., Derycke, S. and Vanreusel, A., 2020. Phylogenetic clustering and rarity imply risk of local species extinction in prospective deep-sea mining areas of the Clarion–Clipperton Fracture Zone. Proceedings of the Royal Society B, 287(1924), p.20192666.",2020,molecular data only,yes- genomic data,yes,,meiofauna,,,,,
149,Maciolek_2020,"Maciolek, N.J., 2020. Anguillosyllis (Annelida: Syllidae) from multiple deep-water locations in the northern and southern hemispheres. Zootaxa, 4793(1), pp.1-73.",2020,morphology only (specimens),no,yes,y,macrofauna,taxonomy/species description,,Zootaxa,article,
49,Mahatma_2009,"Mahatma, R., 2009. Meiofauna communities of the Pacific Nodule Province: abundance, diversity and community structure (Doctoral dissertation, Universität Oldenburg).",2009,morphology only (specimens),no,yes,,meiofauna,,,,thesis,
47,Mahatma_etal_2008,"Mahatma, R., Arbizu, P.M. and Ivanenko, V.N., 2008. A new genus and species of Brychiopontiidae Humes, 1974 (Crustacea: Copepoda: Siphonostomatoida) associated with an abyssal holothurian in the Northeast Pacific nodule province. Zootaxa, 1866(1), pp.290-302.",2008,morphology only (specimens),no,n,y,meiofauna,,,,,
55,Malyutina_2011,"Malyutina, M.V., 2011. Description of two new species of munnopsid isopods (Crustacea: Isopoda: Asellota) from manganese nodules area of the Clarion-Clipperton Fracture Zone, Pacific Ocean. Zootaxa, 2783(1), pp.1-20.",2011,morphology only (specimens),no,n,y,macrofauna,taxonomy/species description,,Zootaxa,article,
150,Malyutina_etal_2020,"Malyutina, M.V., Kihara, T.C. and Brix, S., 2020. A new genus of Munnopsidae Lilljeborg, 1864 (Crustacea, Isopoda), with descriptions of two abyssal new species from the Clarion Clipperton Fracture Zone, north-eastern tropical Pacific. Marine Biodiversity, 50, pp.1-31.. https://doi.org/10.1007/s12526-020-01061-z",2020,morphology and molecular data,yes,n,y,macrofauna,taxonomy/species description,,Marine Biodiversity,article,
96,Markhaseva_etal_2017,"Markhaseva, E.L., Mohrbeck, I. and Renz, J., 2017. Description of Pseudeuchaeta vulgaris n. sp.(Copepoda: Calanoida), a new aetideid species from the deep Pacific Ocean with notes on the biogeography of benthopelagic aetideid calanoids. Marine Biodiversity, 47(2), pp.289-297.. https://doi.org/10.1007/s12526-016-0527-9",2017,morphology only (specimens),no,n,y,meiofauna,taxonomy/species description,,Marine Biodiversity,article,
64,Matsuyama_etal_2014,"Matsuyama, K., Janssen, A., Arbizu, P.M., Martha, S.O. and Freiwald, A., 2014. Bryozoans from RV Sonne deep-sea cruises SO 167 ‘Louisville’and SO 205 ‘Mangan’. Zootaxa, 3856(1), pp.100-116.",2014,morphology only (specimens),no,n,y,macrofauna,taxonomy/species description/ distributional records,,Zootaxa,article,
196,Menzel_2011,"Menzel, L., 2011. First descriptions of copepodid stages, sexual dimorphism and intraspecific variability of Mesocletodes Sars, 1909 (Copepoda, Harpacticoida, Argestidae), including the description of a new species with broad abyssal distribution. ZooKeys, (96), p.39.",2011,,no,yes,,meiofauna,,,,,
127,Mercado-Salas_etal_2019,"Mercado-Salas, N.F., Khodami, S. and Arbizu, P.M., 2019. Convergent evolution of mouthparts morphology between Siphonostomatoida and a new genus of deep-sea Aegisthidae Giesbrecht, 1893 (Copepoda: Harpacticoida). Marine Biodiversity, 49(4), pp.1635-1655.. https://doi.org/10.1007/s12526-018-0932-3",2019,morphology and molecular data,yes,n,y,meiofauna,taxonomy/species description,,Marine Biodiversity,article,
57,Miljuntina&Miljutin_2012,"Miljutina, M.A. and Miljutin, D.M., 2012. Seven new and four known species of the genus Acantholaimus (Nematoda: Chromadoridae) from the abyssal manganese nodule field (Clarion-Clipperton Fracture Zone, North-Eastern Tropical Pacific). Helgoland Marine Research, 66(3), pp.413-462.",2012,morphology only (specimens),no,yes,y,meiofauna,taxonomy/species description,,Helgoland Marine Research,article,
50,Miljutin&Miljuntina_2009a,"Miljutin, D.M. and Miljutina, M.A., 2009. Description of Bathynema nodinauti gen. n., sp. n. and four new Trophomera species (Nematoda: Benthimermithidae) from the Clarion-Clipperton Fracture Zone (Eastern Tropic Pacific), supplemented with the keys to genera and species. Zootaxa, 2096(1), pp.173-196.",2009,morphology only (specimens),no,yes,y,meiofauna,taxonomy/species description,,Zootaxa,article,
51,Miljutin&Miljuntina_2009b,"Miljutin, D.M. and Miljutina, M.A., 2009. Deep-sea nematodes of the family Microlaimidae from the Clarion-Clipperton Fracture Zone (North-Eastern Tropic Pacific), with the descriptions of three new species. Zootaxa, 2096(1), pp.137-172.",2009,morphology only (specimens),no,yes,y,meiofauna,taxonomy/species description,,Zootaxa,article,
80,Miljutin&Miljutina_2016,"Miljutin, D.M. and Miljutina, M.A., 2016. Intraspecific variability of morphological characters in the species-rich deep-sea genus Acantholaimus Allgén, 1933 (Nematoda: Chromadoridae). Nematology, 18(4), pp.455-473.",2016,morphology only (specimens),yes,n,,meiofauna,,,Nematology,article,
56,Miljutin_etal_2011,"Miljutin, D.M., Miljutina, M.A., Arbizu, P.M. and Galéron, J., 2011. Deep-sea nematode assemblage has not recovered 26 years after experimental mining of polymetallic nodules (Clarion-Clipperton Fracture Zone, Tropical Eastern Pacific). Deep Sea Research Part I: Oceanographic Research Papers, 58(8), pp.885-897.",2011,morphology only (specimens),no,n,,meiofauna,,,,,
70,Miljutin_etal_2015,"Miljutin, D., Miljutina, M. and Messié, M., 2015. Changes in abundance and community structure of nematodes from the abyssal polymetallic nodule field, Tropical Northeast Pacific. Deep Sea Research Part I: Oceanographic Research Papers, 106, pp.126-135.",2015,morphology only (specimens),no,n,,meiofauna,,,,,
52,Miljutina_etal_2010,"Miljutina, M.A., Miljutin, D.M., Mahatma, R. and Galéron, J., 2010. Deep-sea nematode assemblages of the Clarion-Clipperton Nodule Province (tropical north-eastern Pacific). Marine Biodiversity, 40(1), pp.1-15. https://doi.org/10.1007/s12526-009-0029-0",2010,morphology only (specimens),no,n,,meiofauna,community composition/species assemblages,,Marine Biodiversity,article,
106,Min_etal_2018,"Min, W.G., Kim, D., Rho, H.S., Chi, S.B. and Son, S.K., 2018. Distribution and variability of the meiobenthic assemblages near the Korean polymetallic nodule claim area of the Clarion-Clipperton Fracture zone (subequatorial NE Pacific). Ocean Science Journal, 53(2), pp.315-336.",2018,morphology only (specimens),no,n,,meiofauna,community composition/species assemblages,,Ocean Science Journal,article,
179,Mohrbeck_etal_2021,"Mohrbeck, I., Horton, T., Ja?d?ewska, A.M. and Arbizu, P.M., 2021. DNA barcoding and cryptic diversity of deep-sea scavenging amphipods in the Clarion-Clipperton Zone (Eastern Equatorial Pacific). Marine Biodiversity, 51(2), pp.1-15.",2021,morphology and molecular data,yes,yes,,megafauna,genetic studies,,Marine Biodiversity,article,
97,Molodtsova&Opresko_2017,"Molodtsova, T.N. and Opresko, D.M., 2017. Black corals (Anthozoa: Antipatharia) of the clarion-clipperton fracture zone. Marine Biodiversity, 47(2), pp.349-365. 10.1007/s12526-017-0659-6",2017,morphology only (specimens),no,n,y,megafauna,taxonomy/species description,,Marine Biodiversity,article,
20,Morgan_etal_1993,"Morgan, C. L., Nichols, J. A., Selk, B. W., Toth, J. R. and Wallin, C. 1993. ‘Preliminary analysis of exploration data from Pacific deposits of manganese nodules’, Marine Georesources and Geotechnology, 11, 1-25.",1993,morphology only (specimens and imagery),no,yes,,megafauna,,,,,
12,Mullineaux_1987,"Mullineaux, L.S., 1987. Organisms living on manganese nodules and crusts: distribution and abundance at three North Pacific sites. Deep Sea Research Part A. Oceanographic Research Papers, 34(2), pp.165-184.",1987,morphology only (specimens),no,n,,macrofauna,,,,,
184,Neal_etal_2022a,"Abyssal fauna of polymetallic nodule exploration areas, eastern Clarion-Clipperton Zone, central Pacific Ocean: Annelida: Spionidae and Poecilochaetidae ",2022,morphology and molecular data,yes,yes,y,macrofauna,taxonomy/species description/distributional records,,Marine Biodiversity,article in prep,
188,Neal_etal_in_2022b,"Abyssal fauna of polymetallic nodule exploration areas, eastern Clarion-Clipperton Zone, central Pacific Ocean: Amphinomida",2022,,yes,yes,y,macrofauna,,,,,
43,O’Loughlin&Ahearn_2005,"O’Loughlin, P.M. and Ahearn, C.Y.N.T.H.I.A., 2005. A review of pygal-furrowed Synallactidae (Echinodermata: Holothuroidea), with new species from the Antarctic, Atlantic and Pacific oceans. Memoirs of Museum Victoria, 62(2), pp.147-179.",2005,morphology only (speciimens),no,yes,y,megafauna,,,,,
98,Pape_etal_2017,"Pape, E., Bezerra, T.N., Hauquier, F. and Vanreusel, A., 2017. Limited spatial and temporal variability in meiofauna and nematode communities at distant but environmentally similar sites in an area of interest for deep-sea mining. Frontiers in Marine Science, 4, p.205.",2017,morphology only (specimens),no,yes,,meiofauna,community composition/species assemblages,,Frontiers in Marine Science,article,
197,Pape_etal_2021,"Pape, E., Bezerra, T.N., Gheerardyn, H., Buydens, M., Kieswetter, A. and Vanreusel, A., 2021. Potential impacts of polymetallic nodule removal on deep-sea meiofauna. Scientific reports, 11(1), pp.1-15.",2021,,no,yes,,meiofauna,,,,,
42,Park_etal_2004,"Park, H.S., Chi, S.B., Paik, S.K. and Kim, W.S., 2004. Responses of benthic animals in spatial distribution to the sedimentary environments on the deep-sea floor, the Clarion-Clipperton fracture zone, Northeastern Pacific Ocean. Ocean and Polar Research, 26(2), pp.311-321.",2004,morphology only (specimens),no,yes,,meiofauna; macrofauna,,,,,
151,Pasotti_etal_2020,"Pasotti; Francesca, P., Mevenkamp, L., Pape, E., B?a?ewicz, M., Bonifácio, P., Riehl, T., De Smet, B., Lefaible, N., Lins, L. and Vanreusel, A., 2021. A local scale analysis of manganese nodules influence on the Clarion-Clipperton Fracture Zone macrobenthos. Deep Sea Research Part I: Oceanographic Research Papers, 168, p.103449.",2020,morphology only (specimens),no,yes,,macrofauna,community composition/species assemblages,,Deep Sea Research Part I: Oceanographic Research Papers,article,
152,Patel_etal_2020,"Patel, T., Robert, H., D'Udekem D'Acoz, C., Martens, K., Mesel, I.D., Degraer, S. and Schön, I., 2020. Biogeography and community structure of abyssal scavenging Amphipoda (Crustacea) in the Pacific Ocean. Biogeosciences, 17(10), pp.2731-2744.",2020,morphology only (specimens),no,yes,,macrofauna,genetic studies,,Biogeosciences,article,
81,Paterson_etal_2016,"Paterson, G.L., Neal, L., Altamira, I., Soto, E.H., Smith, C.R., Menot, L., Billett, D.S., Cunha, M.R., Marchais-Laguionie, C. and Glover, A.G., 2016. New Prionospio and Aurospio species from the deep sea (Annelida: Polychaeta). Zootaxa, 4092(1), pp.1-32.",2016,morphology only (specimens),yes,n,y,macrofauna,,,,,
8,Pawson&Foell_1985,"Pawson, D.L. and Foell, E.J., 1985. An annotated atlas of abyssal echinoderms from the Clipperton-Clarion Fracture Zone, equatorial eastern north Pacific. In Echinodermata (pp. 168-168). CRC Press.",1985,morphology only (specimens and imagery),no,n,,megafauna,,,,,
11,Pawson&Foell_1986,"Pawson D, Foell E (1986) Peniagone leander new species, an abyssal benthopelagic sea cucumber (Echinodermata: Holothuroidea) from the eastern central Pacific Ocean. Bulletin of Marine Science 38: 293–299.",1986,morphology only (imagery),no,yes,y,megafauna,species description,,,,
7,Pawson_1983,"Pawson, D.L., 1983. Psychronaetes hanseni, a new genus and species of elasipodan sea cucumber from the eastern central Pacific (Echinodermata: Holothuroidea). PROCEEDINGS OF THE BIOLOGICAL SOCIETY OF WASHINGTON; ISSN 0006-324X; USA; DA. 1983; VOL. 96; NO 1; PP. 154-159; BIBL. 2 REF",1983,morphology only (specimens),no,n,y,megafauna,,,,,
15,Pawson_1988,"Pawson, D. L., Abyssal plain megafauna in the Clarion Clipperton Fracture Zone, Eastern Central Pacific Ocean: Photographic survey of a manganese nodule field",1988,morphology only (specimens and imagery),no,n,,megafauna,,,,,
82,Petrov_etal_2016,"Petrov, N.B., Vladychenskaya, I.P., Dil’man, A.B. and Mironov, A.N., 2016. Taxonomic position of the family Porcellanasteridae within the class Asteroidea. Biology Bulletin, 43(6), pp.483-490.",2016,morphology and molecular data,yes,n,,megafauna,genetics studies,,Biology Bulletin,article,
58,Poltarukha&Melnick_2012,"Poltarukha, O.P. and Melnik, V.F., 2012. New records of deep-sea barnacles (Cirripedia: Thoracica: Scalpelliformes) from the Clarion-Clipperton region, Pacific Ocean. Zootaxa, 3297(1), pp.34-40.",2012,morphology only (specimens),no,n,,macrofauna,,,,,
185,Quintanilla_etal_2022,"Quintanilla Alcaide, E., Rodrigues, C.F., Henriques, I. and Hilário, A., Microbial associations of abyssal gorgonians and anemones (> 4000 meters depth) at the Clarion-Clipperton Fracture Zone. Frontiers in Microbiology, p.743.",2022,morphology and molecular data,yes,yes,,megafauna,,,,,
33,Radziejewska&Stoyanova_2000,"Radziejewska,T. Stoyanova,  S. 2000. Abyssal epibenthic megafauna of the Clarion-Clipperton area (NE Pacific): changes in time and space versus anthropogenic environmental disturbance. Oceanological Studies, 29(2), p.83.",2000,morphology only (ROV imagery),no,n,,megafauna,,,,,
35,Radziejewska_etal_2001,"Radziejewska, T., Drzycimski, I., Galtsova, V.V., Kulangieva, L.V. and Stoyanova, V., 2001. Changes in Genus-level Diversity of Meiobenthic Free-living Nematodes (Nematoda) and Harpacticoids (Copepoda Harpacticoida) at an Abyssal Site following Experimental Sediment Disturbance. In Proceedings of the ISOPE Ocean Mining Symposium (pp. 38-43).",2001,morphology only (imagery),no,n,,meiofauna,,,,,
17,Renaud-Mornant&Gourbault_1990,"Renaud-Mornant, J. and Gourbault, N., 1990. Evaluation of abyssal meiobenthos in the eastern central Pacific (Clarion-Clipperton fracture zone). Progress in Oceanography, 24(1-4), pp.317-329.",1990,morphology only (specimens),no,n,,meiofauna,community composition/species assemblages,,,,
1,Ridley&Dendy_1887,"Ridley, S.O.; Dendy, A. (1887). Report on the Monaxonida collected by H.M.S. 'Challenger' during the years 1873-76. Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology. 20 (part 59): i-lxviii, 1-275, pl. 1-51, 1 map., available online at http://www.19thcenturyscience.org/HMSC/HMSC-Reports/Zool-59/README.htm",1887,morphology only (specimens),no,yes,y,megafauna,,,,,
153,Riehl&DeSmet_2020,"Riehl, T. and De Smet, B., 2020. Macrostylis metallicola spec. nov.—an isopod with geographically clustered genetic variability from a polymetallic-nodule area in the Clarion-Clipperton Fracture Zone. PeerJ, 8, p.e8621. https://doi.org/10.7717/peerj.8621",2020,morphology and molecular data,yes,yes,y,macrofauna,taxonomy/species description,,PeerJ,article,
65,Riehl_etal_2014,"Riehl, T., Wilson, G.D. and Malyutina, M.V., 2014. Urstylidae—a new family of abyssal isopods (Crustacea: Asellota) and its phylogenetic implications. Zoological Journal of the Linnean Society, 170(2), pp.245-296.",2014,morphology and molecular data,not avail,yes,y,macrofauna,taxonomy/species description,,Zoological Journal of the Linnean Society,,
29,Roux&Pawson_1999,"Roux, M. and Pawson, D.L., 1999. Two new Pacific Ocean species of hyocrinid crinoids (Echinodermata), with comments on presumed giant-dwarf gradients related to seamounts and abyssal plains. Pacific Science 53, no. 3: 289-298",1999,morphology only (specimens),no,n,y,macrofauna,,,,,
128,Sanchez_etal_2019,"Sánchez, N., Pardos, F. and Arbizu, P.M., 2019. Deep-sea Kinorhyncha diversity of the polymetallic nodule fields at the Clarion-Clipperton Fracture Zone (CCZ). Zoologischer Anzeiger, 282, pp.88-105. https://doi.org/10.1016/j.jcz.2019.05.007",2019,morphology only (specimens),no,n,y,meiofauna,taxonomy/species description,,Zoologischer Anzeiger,article,
154,Shimada_etal_2020,"Shimada, D., Takeda, N., Tsune, A. and Murakami, C., 2020. Three new species of free-living marine nematodes (Nematoda: Enoplida) from the Clarion-Clipperton Fracture Zone (CCFZ), North Pacific. Zootaxa, 4859(4), pp.zootaxa-4859.",2020,morphology only (specimens),no,n,y,meiofauna,taxonomy/species description,,Zootaxa,article,
181,Shimada_etal_2021,"Shimada D, Takeda N, Tsune A, Murakami C. (2021). Two new species of Trophomera Rubtzov & Platonova, 1974 (Nematoda: Plectida: Benthimermithidae) from the Clarion-Clipperton Fracture Zone, North Pacific. Cahiers de Biologie Marine. 62: 157-167., available online at https://doi.org/10.21411/CBM.A.D150CC09 [details] ",2021,morphology only (specimens),no,n,y,meiofauna,,,,,
24,Shirayama&Fukushima_1997,"Shirayama Y, Fukushima T (1997). Responses of meiobenthos community to the rapid re-sedimentation. In: Proceedings of the international symposium on environmental impact of deep sea mining, MMAJ, Tokyo, Japan, pp 187–196",1997,,no,n,,meiofauna,,,,,
129,Simon-Lledó_etal_2019a,"Simon-Lledó, E., Bett, B.J., Huvenne, V.A., Schoening, T., Benoist, N.M., Jeffreys, R.M., Durden, J.M. and Jones, D.O., 2019. Megafaunal variation in the abyssal landscape of the Clarion Clipperton Zone. Progress in oceanography, 170, pp.119-133. https://doi.org/10.1016/j.pocean.2018.11.003",2019,morphology only (imagery),no,yes,,megafauna,community composition/species assemblages,,Progress in Oceanography,article,
130,Simon-Lledó_etal_2019b,"Simon?Lledó, E., Bett, B.J., Huvenne, V.A., Schoening, T., Benoist, N.M. and Jones, D.O., 2019. Ecology of a polymetallic nodule occurrence gradient: Implications for deep?sea mining. Limnology and Oceanography, 64(5), pp.1883-1894. https://doi.org/10.1002/lno.11157",2019,morphology only (imagery),no,yes,,megafauna,community composition/species assemblages,,Limnology and Oceanograph,article,
155,Simon-Lledó_etal_2020,"Simon-Lledó, E., Pomee, C., Ahokava, A., Drazen, J.C., Leitner, A.B., Flynn, A., Parianos, J. and Jones, D.O., 2020. Multi-scale variations in invertebrate and fish megafauna in the mid-eastern Clarion Clipperton Zone. Progress in Oceanography, 187, p.102405. https://doi.org/10.1016/j.pocean.2020.102405",2020,morphology only (imagery),no,yes,,megafauna,community composition/species assemblages,,Progress in Oceanography,article,
83,Singh_etal_2016,"Singh, R., Miljutin, D.M., Vanreusel, A., Radziejewska, T., Miljutina, M.M., Tchesunov, A., Bussau, C., Galtsova, V. and Martinez Arbizu, P., 2016. Nematode communities inhabiting the soft deep-sea sediment in polymetallic nodule fields: do they differ from those in the nodule-free abyssal areas?. Marine Biology Research, 12(4), pp.345-359.",2016,morphology only (specimens),no,n,,meiofauna,,,,,
48,Smith_etal_2008,"Smith, C.R., Paterson, G., Lambshead, J., Glover, A., Rogers, A., Gooday, A., Kitazato, H., Sibuet, M., Galeron, J. and Menot, L., 2008. Biodiversity, species ranges, and gene flow in the abyssal Pacific nodule province: predicting and managing the impacts of deep seabed mining. ISA report",2008,morphology and molecular data,yes,yes,,macrofauna,,,,report,
186,Stepien_etal_2022,"Stepien´ A, Józ´wiak P, Jakiel A, Pe?czyn´ ska A and B?az?ewicz M (2022) Diversity of Pacific Agathotanais (Peracarida: Tanaidacea). Front. Mar. Sci. 8:741536. doi: 10.3389/fmars.2021.741536",2022,morphology and molecular data,yes,yes,y,macrofauna,,,,,
156,Stratman_etal_2020,"Stratmann, T., Soetaert, K., Kersken, D. and van Oevelen, D., 2021. Polymetallic nodules are essential for food-web integrity of a prospective deep-seabed mining area in Pacific abyssal plains. Scientific reports, 11(1), pp.1-11.",2020,,no,yes,,all,,,,,
107,Taboada_etal_2018a,"Taboada, S., Riesgo, A., Wiklund, H., Paterson, G.L., Koutsouveli, V., Santodomingo, N., Dale, A.C., Smith, C.R., Jones, D.O., Dahlgren, T.G. and Glover, A.G., 2018. Implications of population connectivity studies for the design of marine protected areas in the deep sea: An example of a demosponge from the Clarion?Clipperton Zone. Molecular ecology, 27(23), pp.4657-4679.",2018,morphology and molecular data,yes,yes,,macrofauna,,,Molecular Ecology,article,
108,Taboada_etal_2018b,"Taboada, S., Kenny, N.J., Riesgo, A., Wiklund, H., Paterson, G.L., Dahlgren, T.G. and Glover, A.G., 2018. Mitochondrial genome and polymorphic microsatellite markers from the abyssal sponge Plenaster craigi Lim & Wiklund, 2017: tools for understanding the impact of deep-sea mining. Marine Biodiversity, 48(1), pp.621-630.",2018,morphology and molecular data,yes,yes,,macrofauna,,,Marine Biodiversity,article,
,Thiel_etal_2022,"Thiel, R., Christodoulou, M., Pogonoski, J.J., Appleyard, S.A., Weddehage, T., Vink, A., Uhlenkott, K. and Martinez Arbizu, P., 2022. An application of morphological analysis and DNA barcoding to identify Ipnops from the Clarion-Clipperton Zone (CCZ) as I. meadi Nielsen, 1966 with notes on other species of the genus (Aulopiformes: Ipnopidae). Marine Biodiversity, 52(6), pp.1-11.",2022,,,,,megafauna,,,,,
18,Tilot_1992,Tilot V (1992) La structure des assemblages mégabenthiques d’une province à nodules polymétalliques de l’océan Pacifique tropical est. PhD-Thesis. Université de Bretagne Occidentale.,1992,morphology only (imagery),no,n,,megafauna,,,,,
109,Tilot_etal_2018,"Tilot, V., Ormond, R., Moreno Navas, J. and Catalá, T.S., 2018. The benthic megafaunal assemblages of the CCZ (Eastern Pacific) and an approach to their management in the face of threatened anthropogenic impacts. Frontiers in Marine Science, 5, p.7.",2018,morphology only (imagery),no,yes,,megafauna,,,,,
203,Tong_etal_2022,"Tong et al., 2022; Community structure of deep-sea benthic metazoan meiofauna in the polymetallic nodule fields in the eastern Clarion-Clipperton Fracture Zone, Pacific Ocean",2022,,,,,meiofauna,,,,,
26,Trueblood&Ozturgut_1997,"Trueblood, D.D. and Ozturgut, E., 1997, May. The benthic impact experiment: A study of the ecological impacts of deep seabed mining on abyssal benthic communities. In The Seventh International Offshore and Polar Engineering Conference. OnePetro.",1997,,no,n,,macrofauna,,,,,
157,Uhlenkott_etal_2020,"Uhlenkott, K., Vink, A., Kuhn, T., Gillard, B. and Martínez Arbizu, P., 2021. Meiofauna in a Potential Deep-Sea Mining Area—Influence of Temporal and Spatial Variability on Small-Scale Abundance Models. Diversity, 13(1), p.3.",2020,morphology only (specimens),no,yes,,meiofauna,community composition/species assemblages,,Diversity,article,
192,Uhlenkott_etal_2022,"Uhlenkott, K., Simon-Lledó, E., Vink, A. and Martínez Arbizu, P., 2022. Investigating the benthic megafauna in the eastern Clarion Clipperton Fracture Zone (north-east Pacific) based on distribution models predicted with random forest. Scientific reports, 12(1), pp.1-11.",2022,,no,yes,,megafauna,,,,,
84,Vanreusel_etal_2016,"Vanreusel, A., Hilario, A., Ribeiro, P.A., Menot, L. and Arbizu, P.M., 2016. Threatened by mining, polymetallic nodules are required to preserve abyssal epifauna. Scientific reports, 6(1), pp.1-6.",2016,,no,yes,,megafauna,,,,,
99,Vecchione_2017,"Vecchione, M., 2017. Notes on cephalopods photographed near the bottom in the Clipperton-Clarion Fracture Zone. Marine Biodiversity, 47(2), pp.307-310.",2017,morphology only (ROV video),no,yes,,megafauna,community composition/species assemblages/distributional records,,Marine Biodiversity,article,
